"Travel motives";"Population";"Travel modes";"Margins";"Region characteristics";"Periods";"Average per person per year/Trips (number)";"Average per person per year/Distance travelled    (passenger kilometres )";"Average per person per year/Time travelled     (hours)"
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Overijssel (PV)";"2023";363;6295;141,1
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Flevoland (PV)";"2018";363;8381;165,7
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Flevoland (PV)";"2019";353;7587;153,1
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Flevoland (PV)";"2020";315;6320;124
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Flevoland (PV)";"2021";291;6000;123,2
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Flevoland (PV)";"2022";322;6829;141,4
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Flevoland (PV)";"2023";353;7648;159,9
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Gelderland (PV)";"2018";380;7395;160,9
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Gelderland (PV)";"2019";383;7613;164,4
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Gelderland (PV)";"2020";318;5458;123,8
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Gelderland (PV)";"2021";328;5684;132,6
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Gelderland (PV)";"2022";354;6112;142,3
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Gelderland (PV)";"2023";362;6541;150,4
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Utrecht (PV)";"2018";331;6829;146,2
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Utrecht (PV)";"2019";324;7256;156,2
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Utrecht (PV)";"2020";268;5017;112,7
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Utrecht (PV)";"2021";277;5168;117,2
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Utrecht (PV)";"2022";298;5588;128,4
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Utrecht (PV)";"2023";303;5979;136,9
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Noord-Holland (PV)";"2018";290;5916;136,7
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Noord-Holland (PV)";"2019";281;5525;133,2
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Noord-Holland (PV)";"2020";242;3875;96,1
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Noord-Holland (PV)";"2021";244;4358;107,9
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Noord-Holland (PV)";"2022";253;4667;111,5
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Noord-Holland (PV)";"2023";262;4844;116,3
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Zuid-Holland (PV)";"2018";320;5892;145,9
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Zuid-Holland (PV)";"2019";315;5773;143
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Zuid-Holland (PV)";"2020";251;4288;106,6
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Zuid-Holland (PV)";"2021";262;4358;111,8
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Zuid-Holland (PV)";"2022";277;4667;120,5
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Zuid-Holland (PV)";"2023";289;5014;130,4
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Zeeland (PV)";"2018";361;6651;136,5
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Zeeland (PV)";"2019";371;7529;157,5
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Zeeland (PV)";"2020";316;5047;112,9
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Zeeland (PV)";"2021";341;6624;138,5
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Zeeland (PV)";"2022";359;6038;133,3
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Zeeland (PV)";"2023";363;7347;148,4
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Noord-Brabant (PV)";"2018";384;6870;156
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Noord-Brabant (PV)";"2019";396;6968;157,1
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Noord-Brabant (PV)";"2020";343;4954;120,4
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Noord-Brabant (PV)";"2021";351;5529;133,2
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Noord-Brabant (PV)";"2022";363;5956;140,5
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Noord-Brabant (PV)";"2023";393;6573;155,3
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Limburg (PV)";"2018";407;5894;140,6
