"Travel motives";"Population";"Travel modes";"Margins";"Region characteristics";"Periods";"Average per person per year/Trips (number)";"Average per person per year/Distance travelled    (passenger kilometres )";"Average per person per year/Time travelled     (hours)"
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Drenthe (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Drenthe (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Drenthe (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Overijssel (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Overijssel (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Overijssel (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Overijssel (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Overijssel (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Overijssel (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Flevoland (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Flevoland (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Flevoland (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Flevoland (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Flevoland (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Flevoland (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Gelderland (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Gelderland (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Gelderland (PV)";"2020";4;89;5,9
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Gelderland (PV)";"2021";5;149;7,3
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Gelderland (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Gelderland (PV)";"2023";3;80;4
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Utrecht (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Utrecht (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Utrecht (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Utrecht (PV)";"2021";3;112;6
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Utrecht (PV)";"2022";3;94;3,7
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Utrecht (PV)";"2023";2;56;3
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Holland (PV)";"2018";2;48;2,3
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Holland (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Holland (PV)";"2020";3;;4,3
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Holland (PV)";"2021";4;112;6,5
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Holland (PV)";"2022";2;39;3,3
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Holland (PV)";"2023";2;54;4,5
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zuid-Holland (PV)";"2018";2;48;2,6
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zuid-Holland (PV)";"2019";1;47;2,6
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zuid-Holland (PV)";"2020";3;106;6
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zuid-Holland (PV)";"2021";3;98;5,4
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zuid-Holland (PV)";"2022";2;63;4
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zuid-Holland (PV)";"2023";3;83;4,1
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zeeland (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zeeland (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zeeland (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zeeland (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zeeland (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zeeland (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Brabant (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Brabant (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Brabant (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Brabant (PV)";"2021";4;144;7,6
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Brabant (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Brabant (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Limburg (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Limburg (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Limburg (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Limburg (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Limburg (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Passenger car (passenger)";"Value";"Limburg (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"The Netherlands";"2018";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"The Netherlands";"2019";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"The Netherlands";"2020";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"The Netherlands";"2021";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"The Netherlands";"2022";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"The Netherlands";"2023";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Groningen (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Groningen (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Groningen (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Groningen (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Groningen (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Groningen (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Fryslân (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Fryslân (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Fryslân (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Fryslân (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Fryslân (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Fryslân (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Drenthe (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Drenthe (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Drenthe (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Drenthe (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Drenthe (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Drenthe (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Overijssel (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Overijssel (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Overijssel (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Overijssel (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Overijssel (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Overijssel (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Flevoland (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Flevoland (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Flevoland (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Flevoland (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Flevoland (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Flevoland (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Gelderland (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Gelderland (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Gelderland (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Gelderland (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Gelderland (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Gelderland (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Utrecht (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Utrecht (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Utrecht (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Utrecht (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Utrecht (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Utrecht (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Noord-Holland (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Noord-Holland (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Noord-Holland (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Noord-Holland (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Noord-Holland (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Noord-Holland (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Zuid-Holland (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Zuid-Holland (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Zuid-Holland (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Zuid-Holland (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Zuid-Holland (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Zuid-Holland (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Zeeland (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Zeeland (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Zeeland (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Zeeland (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Zeeland (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Zeeland (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Noord-Brabant (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Noord-Brabant (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Noord-Brabant (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Noord-Brabant (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Noord-Brabant (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Noord-Brabant (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Limburg (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Limburg (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Limburg (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Limburg (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Limburg (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Train";"Value";"Limburg (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2018";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2019";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2020";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2021";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2022";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2023";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Groningen (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Groningen (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Groningen (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Groningen (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Groningen (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Groningen (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Fryslân (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Fryslân (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Fryslân (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Fryslân (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Fryslân (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Fryslân (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Drenthe (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Drenthe (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Drenthe (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Drenthe (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Drenthe (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Drenthe (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Overijssel (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Overijssel (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Overijssel (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Overijssel (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Overijssel (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Overijssel (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Flevoland (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Flevoland (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Flevoland (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Flevoland (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Flevoland (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Flevoland (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Gelderland (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Gelderland (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Gelderland (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Gelderland (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Gelderland (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Gelderland (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Utrecht (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Utrecht (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Utrecht (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Utrecht (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Utrecht (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Utrecht (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Holland (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Holland (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Holland (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Holland (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Holland (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Holland (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Zuid-Holland (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Zuid-Holland (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Zuid-Holland (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Zuid-Holland (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Zuid-Holland (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Zuid-Holland (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Zeeland (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Zeeland (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Zeeland (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Zeeland (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Zeeland (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Zeeland (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Brabant (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Brabant (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Brabant (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Brabant (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Brabant (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Brabant (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Limburg (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Limburg (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Limburg (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Limburg (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Limburg (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Bus/tram/metro";"Value";"Limburg (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2018";12;209;22,6
"Touring/walking";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2019";11;187;22,7
"Touring/walking";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2020";15;244;27
"Touring/walking";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2021";15;244;26,7
"Touring/walking";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2022";14;227;25,7
"Touring/walking";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2023";12;191;21,7
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Groningen (PV)";"2018";12;217;23,1
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Groningen (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Groningen (PV)";"2020";15;277;32,3
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Groningen (PV)";"2021";14;254;26,6
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Groningen (PV)";"2022";14;226;23,9
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Groningen (PV)";"2023";13;219;22,9
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Fryslân (PV)";"2018";18;310;30,7
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Fryslân (PV)";"2019";13;189;22,5
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Fryslân (PV)";"2020";18;228;23,8
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Fryslân (PV)";"2021";22;334;31,9
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Fryslân (PV)";"2022";19;371;37,9
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Fryslân (PV)";"2023";16;251;28,5
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Drenthe (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Drenthe (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Drenthe (PV)";"2020";16;280;28
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Drenthe (PV)";"2021";16;288;26,1
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Drenthe (PV)";"2022";16;292;30,6
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Drenthe (PV)";"2023";14;239;25,1
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Overijssel (PV)";"2018";13;218;23,2
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Overijssel (PV)";"2019";14;204;25,3
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Overijssel (PV)";"2020";17;267;28
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Overijssel (PV)";"2021";17;266;29
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Overijssel (PV)";"2022";14;223;25,8
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Overijssel (PV)";"2023";16;249;27,4
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Flevoland (PV)";"2018";12;208;
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Flevoland (PV)";"2019";11;176;18,3
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Flevoland (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Flevoland (PV)";"2021";16;197;24,7
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Flevoland (PV)";"2022";12;180;20,7
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Flevoland (PV)";"2023";11;169;22,5
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Gelderland (PV)";"2018";13;220;24,9
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Gelderland (PV)";"2019";11;208;23,4
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Gelderland (PV)";"2020";16;271;25,8
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Gelderland (PV)";"2021";16;257;27,3
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Gelderland (PV)";"2022";15;214;23,2
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Gelderland (PV)";"2023";13;185;19,7
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Utrecht (PV)";"2018";11;158;15,7
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Utrecht (PV)";"2019";10;159;20,3
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Utrecht (PV)";"2020";15;216;26,3
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Utrecht (PV)";"2021";14;253;27,5
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Utrecht (PV)";"2022";13;193;22,7
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Utrecht (PV)";"2023";11;178;20,1
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Noord-Holland (PV)";"2018";12;192;22,6
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Noord-Holland (PV)";"2019";10;144;20
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Noord-Holland (PV)";"2020";14;234;28,1
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Noord-Holland (PV)";"2021";14;210;25,8
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Noord-Holland (PV)";"2022";14;207;25,8
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Noord-Holland (PV)";"2023";11;156;20
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Zuid-Holland (PV)";"2018";10;171;18,7
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Zuid-Holland (PV)";"2019";10;150;19,5
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Zuid-Holland (PV)";"2020";15;231;27,3
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Zuid-Holland (PV)";"2021";14;222;26,2
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Zuid-Holland (PV)";"2022";12;193;23
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Zuid-Holland (PV)";"2023";11;157;19,5
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Zeeland (PV)";"2018";18;321;30,2
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Zeeland (PV)";"2019";18;354;35,3
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Zeeland (PV)";"2020";20;375;34,9
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Zeeland (PV)";"2021";23;387;40,1
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Zeeland (PV)";"2022";24;441;45,4
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Zeeland (PV)";"2023";16;307;34,8
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Noord-Brabant (PV)";"2018";12;238;24,1
