Travel motives,population,Travel modes,margins,Regions,Year,Average number of trips per person per year,Average kilometers travelled per person per year,Average hours travelled per person per year
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2021,35.0,713.0,17.1
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2022,47.0,845.0,19.9
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2023,48.0,815.0,19.3
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2018,44.0,815.0,18.0
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2019,49.0,1082.0,22.9
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2020,30.0,573.0,13.6
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2021,33.0,631.0,15.6
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2022,46.0,881.0,20.7
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2023,50.0,954.0,21.9
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2018,40.0,759.0,18.2
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2019,44.0,838.0,20.7
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2020,31.0,544.0,13.3
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2021,30.0,665.0,16.0
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2022,36.0,681.0,17.7
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2023,38.0,813.0,18.5
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2018,48.0,833.0,21.4
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2019,47.0,905.0,21.2
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2020,29.0,524.0,14.4
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2021,32.0,673.0,16.0
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2022,39.0,728.0,18.5
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2023,46.0,828.0,21.3
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2018,48.0,958.0,19.8
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2019,55.0,820.0,21.6
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2020,39.0,655.0,15.3
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2021,,,
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2022,44.0,545.0,13.5
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2023,55.0,841.0,19.6
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Noord-Brabant (PV),2018,53.0,856.0,20.8
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Noord-Brabant (PV),2019,56.0,952.0,21.8
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Noord-Brabant (PV),2020,38.0,556.0,14.3
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Noord-Brabant (PV),2021,34.0,627.0,15.4
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Noord-Brabant (PV),2022,45.0,803.0,18.9
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Noord-Brabant (PV),2023,54.0,897.0,21.3
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Limburg (PV),2018,53.0,628.0,17.9
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Limburg (PV),2019,62.0,842.0,20.5
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Limburg (PV),2020,43.0,508.0,14.8
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Limburg (PV),2021,38.0,530.0,16.3
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Limburg (PV),2022,51.0,717.0,19.0
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Limburg (PV),2023,57.0,733.0,19.9
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,The Netherlands,2018,36.0,716.0,17.7
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,The Netherlands,2019,36.0,827.0,19.4
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,The Netherlands,2020,22.0,464.0,10.9
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,The Netherlands,2021,24.0,604.0,14.1
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,The Netherlands,2022,31.0,667.0,16.4
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,The Netherlands,2023,34.0,793.0,17.8
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Groningen (PV),2018,38.0,993.0,26.5
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Groningen (PV),2019,27.0,613.0,16.2
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Groningen (PV),2020,,,
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Groningen (PV),2021,18.0,,
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Groningen (PV),2022,30.0,942.0,19.9
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Groningen (PV),2023,27.0,735.0,16.3
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Fryslân (PV),2018,35.0,682.0,18.9
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Fryslân (PV),2019,45.0,1202.0,27.4
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Fryslân (PV),2020,30.0,586.0,12.4
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Fryslân (PV),2021,27.0,751.0,15.7
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Fryslân (PV),2022,31.0,835.0,20.1
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Fryslân (PV),2023,31.0,864.0,16.1
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Drenthe (PV),2018,37.0,735.0,15.7
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Drenthe (PV),2019,36.0,823.0,16.8
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Drenthe (PV),2020,29.0,464.0,10.3
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Drenthe (PV),2021,28.0,666.0,
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Drenthe (PV),2022,24.0,513.0,12.2
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Drenthe (PV),2023,34.0,,
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Overijssel (PV),2018,38.0,774.0,17.6
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Overijssel (PV),2019,37.0,1085.0,22.4
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Overijssel (PV),2020,23.0,453.0,11.5
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Overijssel (PV),2021,26.0,603.0,13.9
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Overijssel (PV),2022,33.0,700.0,14.6
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Overijssel (PV),2023,35.0,1056.0,21.2
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Flevoland (PV),2018,43.0,856.0,19.6
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Flevoland (PV),2019,38.0,1209.0,23.1
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Flevoland (PV),2020,31.0,739.0,16.7
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Flevoland (PV),2021,26.0,942.0,18.3
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Flevoland (PV),2022,39.0,994.0,21.8
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Flevoland (PV),2023,42.0,754.0,18.8
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Gelderland (PV),2018,36.0,795.0,17.7
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Gelderland (PV),2019,41.0,762.0,19.1
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Gelderland (PV),2020,23.0,465.0,10.5
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Gelderland (PV),2021,23.0,583.0,13.2
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Gelderland (PV),2022,34.0,704.0,19.9
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Gelderland (PV),2023,35.0,822.0,17.4
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Utrecht (PV),2018,33.0,754.0,18.1
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Utrecht (PV),2019,38.0,1018.0,22.5
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Utrecht (PV),2020,21.0,476.0,10.7
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Utrecht (PV),2021,26.0,627.0,14.7
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Utrecht (PV),2022,32.0,841.0,19.1
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Utrecht (PV),2023,34.0,1006.0,20.4
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Noord-Holland (PV),2018,32.0,606.0,16.1
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Noord-Holland (PV),2019,29.0,693.0,17.2
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Noord-Holland (PV),2020,17.0,425.0,10.2
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Noord-Holland (PV),2021,23.0,586.0,14.5
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Noord-Holland (PV),2022,27.0,661.0,16.6
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Noord-Holland (PV),2023,30.0,658.0,16.4
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Zuid-Holland (PV),2018,34.0,612.0,16.2
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Zuid-Holland (PV),2019,35.0,778.0,19.6
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Zuid-Holland (PV),2020,21.0,430.0,10.7
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Zuid-Holland (PV),2021,23.0,590.0,13.8
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Zuid-Holland (PV),2022,28.0,564.0,14.4
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Zuid-Holland (PV),2023,32.0,697.0,17.0
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Zeeland (PV),2018,38.0,624.0,15.4
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Zeeland (PV),2019,47.0,,23.2
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Zeeland (PV),2020,,,
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Zeeland (PV),2021,,,
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Zeeland (PV),2022,,,
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Zeeland (PV),2023,45.0,795.0,17.3
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Noord-Brabant (PV),2018,41.0,718.0,18.2
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Noord-Brabant (PV),2019,37.0,746.0,17.3
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Noord-Brabant (PV),2020,25.0,462.0,10.9
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Noord-Brabant (PV),2021,26.0,505.0,12.1
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Noord-Brabant (PV),2022,32.0,624.0,15.2
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Noord-Brabant (PV),2023,38.0,866.0,19.1
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Limburg (PV),2018,44.0,932.0,21.0
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Limburg (PV),2019,45.0,795.0,18.0
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Limburg (PV),2020,22.0,359.0,8.5
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Limburg (PV),2021,27.0,529.0,11.9
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Limburg (PV),2022,35.0,571.0,14.6
"Leisure, sports",Population 6 years or older,Passenger car (passenger),Value,Limburg (PV),2023,36.0,562.0,14.3
"Leisure, sports",Population 6 years or older,Train,Value,The Netherlands,2018,3.0,190.0,4.9
"Leisure, sports",Population 6 years or older,Train,Value,The Netherlands,2019,4.0,216.0,5.4
"Leisure, sports",Population 6 years or older,Train,Value,The Netherlands,2020,1.0,73.0,1.8
"Leisure, sports",Population 6 years or older,Train,Value,The Netherlands,2021,2.0,88.0,2.5
"Leisure, sports",Population 6 years or older,Train,Value,The Netherlands,2022,3.0,169.0,4.4
"Leisure, sports",Population 6 years or older,Train,Value,The Netherlands,2023,4.0,217.0,5.9
"Leisure, sports",Population 6 years or older,Train,Value,Groningen (PV),2018,,,
"Leisure, sports",Population 6 years or older,Train,Value,Groningen (PV),2019,,,
"Leisure, sports",Population 6 years or older,Train,Value,Groningen (PV),2020,,,
"Leisure, sports",Population 6 years or older,Train,Value,Groningen (PV),2021,,,
"Leisure, sports",Population 6 years or older,Train,Value,Groningen (PV),2022,,,
"Leisure, sports",Population 6 years or older,Train,Value,Groningen (PV),2023,,,
"Leisure, sports",Population 6 years or older,Train,Value,Fryslân (PV),2018,,,
"Leisure, sports",Population 6 years or older,Train,Value,Fryslân (PV),2019,,,
"Leisure, sports",Population 6 years or older,Train,Value,Fryslân (PV),2020,,,
"Leisure, sports",Population 6 years or older,Train,Value,Fryslân (PV),2021,,,
"Leisure, sports",Population 6 years or older,Train,Value,Fryslân (PV),2022,,,
