Travel motives,population,Travel modes,margins,Regions,Year,Average number of trips per person per year,Average kilometers travelled per person per year,Average hours travelled per person per year
Total,Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2020,242.0,3875.0,96.1
Total,Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2021,244.0,4358.0,107.9
Total,Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2022,253.0,4667.0,111.5
Total,Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2023,262.0,4844.0,116.3
Total,Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2018,320.0,5892.0,145.9
Total,Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2019,315.0,5773.0,143.0
Total,Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2020,251.0,4288.0,106.6
Total,Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2021,262.0,4358.0,111.8
Total,Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2022,277.0,4667.0,120.5
Total,Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2023,289.0,5014.0,130.4
Total,Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2018,361.0,6651.0,136.5
Total,Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2019,371.0,7529.0,157.5
Total,Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2020,316.0,5047.0,112.9
Total,Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2021,341.0,6624.0,138.5
Total,Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2022,359.0,6038.0,133.3
Total,Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2023,363.0,7347.0,148.4
Total,Population 6 years or older,Passenger car (driver),Value,Noord-Brabant (PV),2018,384.0,6870.0,156.0
Total,Population 6 years or older,Passenger car (driver),Value,Noord-Brabant (PV),2019,396.0,6968.0,157.1
Total,Population 6 years or older,Passenger car (driver),Value,Noord-Brabant (PV),2020,343.0,4954.0,120.4
Total,Population 6 years or older,Passenger car (driver),Value,Noord-Brabant (PV),2021,351.0,5529.0,133.2
Total,Population 6 years or older,Passenger car (driver),Value,Noord-Brabant (PV),2022,363.0,5956.0,140.5
Total,Population 6 years or older,Passenger car (driver),Value,Noord-Brabant (PV),2023,393.0,6573.0,155.3
Total,Population 6 years or older,Passenger car (driver),Value,Limburg (PV),2018,407.0,5894.0,140.6
Total,Population 6 years or older,Passenger car (driver),Value,Limburg (PV),2019,420.0,5859.0,143.1
Total,Population 6 years or older,Passenger car (driver),Value,Limburg (PV),2020,371.0,4901.0,124.2
Total,Population 6 years or older,Passenger car (driver),Value,Limburg (PV),2021,349.0,5079.0,122.0
Total,Population 6 years or older,Passenger car (driver),Value,Limburg (PV),2022,383.0,5584.0,136.2
Total,Population 6 years or older,Passenger car (driver),Value,Limburg (PV),2023,419.0,5553.0,138.1
Total,Population 6 years or older,Passenger car (passenger),Value,The Netherlands,2018,118.0,2431.0,56.5
Total,Population 6 years or older,Passenger car (passenger),Value,The Netherlands,2019,114.0,2429.0,57.1
Total,Population 6 years or older,Passenger car (passenger),Value,The Netherlands,2020,88.0,1598.0,40.6
Total,Population 6 years or older,Passenger car (passenger),Value,The Netherlands,2021,94.0,1860.0,47.5
Total,Population 6 years or older,Passenger car (passenger),Value,The Netherlands,2022,102.0,1991.0,49.4
Total,Population 6 years or older,Passenger car (passenger),Value,The Netherlands,2023,110.0,2203.0,53.1
Total,Population 6 years or older,Passenger car (passenger),Value,Groningen (PV),2018,129.0,2902.0,69.6
Total,Population 6 years or older,Passenger car (passenger),Value,Groningen (PV),2019,99.0,2944.0,59.7
Total,Population 6 years or older,Passenger car (passenger),Value,Groningen (PV),2020,89.0,1720.0,43.8
Total,Population 6 years or older,Passenger car (passenger),Value,Groningen (PV),2021,83.0,2157.0,52.3
Total,Population 6 years or older,Passenger car (passenger),Value,Groningen (PV),2022,104.0,2414.0,53.5
Total,Population 6 years or older,Passenger car (passenger),Value,Groningen (PV),2023,101.0,2101.0,47.8
Total,Population 6 years or older,Passenger car (passenger),Value,Fryslân (PV),2018,122.0,3156.0,68.1
Total,Population 6 years or older,Passenger car (passenger),Value,Fryslân (PV),2019,123.0,3845.0,75.4
Total,Population 6 years or older,Passenger car (passenger),Value,Fryslân (PV),2020,106.0,1740.0,45.9
Total,Population 6 years or older,Passenger car (passenger),Value,Fryslân (PV),2021,100.0,2449.0,57.9
Total,Population 6 years or older,Passenger car (passenger),Value,Fryslân (PV),2022,108.0,2435.0,54.0
Total,Population 6 years or older,Passenger car (passenger),Value,Fryslân (PV),2023,111.0,2493.0,55.9
Total,Population 6 years or older,Passenger car (passenger),Value,Drenthe (PV),2018,134.0,3021.0,59.7
Total,Population 6 years or older,Passenger car (passenger),Value,Drenthe (PV),2019,130.0,3090.0,67.2
Total,Population 6 years or older,Passenger car (passenger),Value,Drenthe (PV),2020,109.0,2200.0,49.1
Total,Population 6 years or older,Passenger car (passenger),Value,Drenthe (PV),2021,117.0,2343.0,64.5
Total,Population 6 years or older,Passenger car (passenger),Value,Drenthe (PV),2022,99.0,2150.0,51.2
Total,Population 6 years or older,Passenger car (passenger),Value,Drenthe (PV),2023,114.0,2517.0,54.3
Total,Population 6 years or older,Passenger car (passenger),Value,Overijssel (PV),2018,123.0,2611.0,57.1
Total,Population 6 years or older,Passenger car (passenger),Value,Overijssel (PV),2019,116.0,2728.0,60.1
Total,Population 6 years or older,Passenger car (passenger),Value,Overijssel (PV),2020,91.0,1507.0,41.2
Total,Population 6 years or older,Passenger car (passenger),Value,Overijssel (PV),2021,99.0,1830.0,48.6
Total,Population 6 years or older,Passenger car (passenger),Value,Overijssel (PV),2022,107.0,2046.0,47.3
Total,Population 6 years or older,Passenger car (passenger),Value,Overijssel (PV),2023,117.0,2509.0,55.6
Total,Population 6 years or older,Passenger car (passenger),Value,Flevoland (PV),2018,136.0,2708.0,65.2
Total,Population 6 years or older,Passenger car (passenger),Value,Flevoland (PV),2019,128.0,2973.0,62.1
Total,Population 6 years or older,Passenger car (passenger),Value,Flevoland (PV),2020,105.0,1970.0,49.2
Total,Population 6 years or older,Passenger car (passenger),Value,Flevoland (PV),2021,109.0,2704.0,59.4
Total,Population 6 years or older,Passenger car (passenger),Value,Flevoland (PV),2022,119.0,2862.0,59.8
Total,Population 6 years or older,Passenger car (passenger),Value,Flevoland (PV),2023,120.0,2359.0,56.0
Total,Population 6 years or older,Passenger car (passenger),Value,Gelderland (PV),2018,122.0,2609.0,58.2
Total,Population 6 years or older,Passenger car (passenger),Value,Gelderland (PV),2019,118.0,2248.0,59.3
Total,Population 6 years or older,Passenger car (passenger),Value,Gelderland (PV),2020,91.0,1715.0,41.6
